Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
1	Laxmi Coin	1 g	No	Malabar Gold & Diamonds Gold Coin 24K 1 gram | Gold Coin 24k 999 Purity | 24 kt Gold Coin for Birthday, Wedding & Diwali Gift , Goddess Laxmi Impression : Amazon.in: Fashion	4.6 out of 5 stars	939	100+	₹9,500.00	-7%	8,789
2	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Goddess Lakshmi Gold Coin 1 Gms at Amazon.in	4.8 out of 5 stars	8	100+	₹9,679.00	-9%	8,799
3	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Goddess Lakshmi Gold Coin 1 Gms at Amazon.in	4.8 out of 5 stars	8	100+	₹9,679.00	-9%	8,799
4		1 g		P.C. Chandra Jewellers 24k (995) 1 gm Yellow Gold Coin : Amazon.in: Fashion	4.5 out of 5 stars	58		₹10,498.00	-15%	8,883
5		300 g	Bangalore Refinery (P) Ltd	Bangalore Refinery 0.5 Gram 24k (999) Yellow Gold Coin : Amazon.in: Jewellery	4.6 out of 5 stars	413	200+			4,534
6	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Lord Ganesh Gold Coin 1 Gms at Amazon.in	4.3 out of 5 stars	6		₹9,679.00	-9%	8,799
7	FashionJewelry	1 g	Muthood PAPPACHAN	Buy Muthoot Pappachan Swarnavarsham Hallmarked 999 Gold Coin 1 Gm at Amazon.in	4.4 out of 5 stars	73	50+	₹12,132.00	-27%	8,805
8		400 g		P.C. Chandra Jewellers 22k (916) 1 gm Yellow Gold Coin : Amazon.in: Fashion	4.9 out of 5 stars	18		₹9,711.00	-16%	8,199
9	Rose Coin	2 g	No	Malabar Gold & Diamonds Gold Coin 24K 2 grams | Gold Coin 24k 999 Purity | 24 kt Gold Coin for Birthday, Wedding & Diwali Gift , Rose Impression : Amazon.in: Fashion	4.7 out of 5 stars	1,587		₹18,600.00	-7%	17,309
10		0.25 g	Kundan Refinery Pvt Ltd	Kundan 0.25g Gold Coin 24k (999.9) : Amazon.in: Fashion	4.3 out of 5 stars	151	50+	₹2,799.00	-10%	2,511
11		1 g	Bangalore Refinery (P) Ltd.	Bangalore Refinery 1 Gram 24k (999) Yellow Gold Rose Coin : Amazon.in: Jewellery	4.7 out of 5 stars	27		₹9,500.00	-7%	8,839
12	Bangalore Refinery 24k (999) 1gm + 0.50gm Combo Yellow Gold Coin	1.5 g	Bangalore Refinery (P) Ltd.	Bangalore Refinery 24k (999) 1gm + 0.50gm Combo Yellow Gold Coin : Amazon.in: Jewellery	4.7 out of 5 stars	34		₹15,000.00	-11%	13,283
13	Gold Coin	1 g	P.C Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Coin - 1 Gram at Amazon.in	4.5 out of 5 stars	2		₹10,506.00	-15%	8,890
14	Gold Coin	1 g	Joyalukkas India LTD	Joyalukkas 1gm 22K (916) Yellow Gold Coin with Ganapaty Design : Amazon.in: Jewellery						
